feature_extraction,channels,classifier,cross-validation,feature-selection,accuracy,f1_score,AUC
PSD - Total Power & Spectral Density Features,All,LigthGBM,StratifiedKFold,anova,0.4555555555555555,0.3128205128205127,0.5
PSD - Total Power & Spectral Density Features,All,LigthGBM,StratifiedKFold,mutual_info_classif,0.4555555555555555,0.3128205128205127,0.5
PSD - Total Power & Spectral Density Features,All,LigthGBM,StratifiedKFold,chi2,0.4555555555555555,0.3128205128205127,0.5
PSD - Total Power & Spectral Density Features,All,LigthGBM,StratifiedShuffleSplit,anova,0.4444444444444445,0.3076923076923076,0.5
PSD - Total Power & Spectral Density Features,All,LigthGBM,StratifiedShuffleSplit,mutual_info_classif,0.4444444444444445,0.3076923076923076,0.5
PSD - Total Power & Spectral Density Features,All,LigthGBM,StratifiedShuffleSplit,chi2,0.4444444444444445,0.3076923076923076,0.5
PSD - Total Power & Spectral Density Features,All,AdaBoost,KFold,anova,0.3888888888888888,0.3057664557664558,0.4616666666666667
PSD - Total Power & Spectral Density Features,All,AdaBoost,KFold,mutual_info_classif,0.4111111111111111,0.2897435897435897,0.5
PSD - Total Power & Spectral Density Features,All,AdaBoost,KFold,chi2,0.4138888888888888,0.3844877344877345,0.4816666666666666
PSD - Total Power & Spectral Density Features,All,AdaBoost,StratifiedKFold,anova,0.4333333333333333,0.3162820512820512,0.47
PSD - Total Power & Spectral Density Features,All,AdaBoost,StratifiedKFold,mutual_info_classif,0.4555555555555555,0.3128205128205127,0.5
PSD - Total Power & Spectral Density Features,All,AdaBoost,StratifiedKFold,chi2,0.4305555555555555,0.385995670995671,0.45
PSD - Total Power & Spectral Density Features,All,AdaBoost,StratifiedShuffleSplit,anova,0.4444444444444445,0.3076923076923076,0.5
PSD - Total Power & Spectral Density Features,All,AdaBoost,StratifiedShuffleSplit,mutual_info_classif,0.4444444444444445,0.3076923076923076,0.5
PSD - Total Power & Spectral Density Features,All,AdaBoost,StratifiedShuffleSplit,chi2,0.4888888888888889,0.4761111111111111,0.49
PSD - Total Power & Spectral Density Features,Fp1,Support Vector,KFold,anova,0.4777777777777777,0.4247835497835497,0.4683333333333334
PSD - Total Power & Spectral Density Features,Fp1,Support Vector,KFold,mutual_info_classif,0.4555555555555555,0.3831168831168831,0.53
PSD - Total Power & Spectral Density Features,Fp1,Support Vector,KFold,chi2,0.4611111111111111,0.3697435897435898,0.55
PSD - Total Power & Spectral Density Features,Fp1,Support Vector,StratifiedKFold,anova,0.5666666666666667,0.5247835497835498,0.58
PSD - Total Power & Spectral Density Features,Fp1,Support Vector,StratifiedKFold,mutual_info_classif,0.4777777777777777,0.4002109002109003,0.505
